기준월,법정동명,일평균유동인구,시간대
4,죽동,3143.85,퇴근
4,자운동,949.77,퇴근
4,안산동,492.49,주간
4,봉산동,7015.44,새벽
4,구성동,4567.75,퇴근
4,덕진동,1739.46,퇴근
4,문지동,4251.77,퇴근
4,탑립동,2523.34,퇴근
4,구룡동,12.77,새벽
4,세동,288.6,주간
4,장대동,180250.62,주간
4,갑동,279.3,출근
4,외삼동,997.28,저녁
4,교촌동,515.24,출근
4,대정동,7409.98,저녁
4,송정동,624.45,저녁
4,방동,271.16,새벽
4,복용동,9967.65,저녁
4,장동,4592.56,출근
4,안산동,63.73,저녁
4,봉명동,35596.35,퇴근
4,원신흥동,14380.95,퇴근
4,화암동,123.9,저녁
4,추목동,3850.3,출근
4,수남동,178.47,퇴근
4,봉명동,18070.39,출근
4,원신흥동,9337.18,출근
4,화암동,344.0,퇴근
4,추목동,23094.15,주간
4,수남동,278.4,출근
4,교촌동,1989.67,저녁
4,구암동,5704.8,출근
4,상대동,42723.67,주간
4,가정동,26427.76,주간
4,장동,5338.12,저녁
4,하기동,29066.13,주간
4,전민동,79608.86,주간
4,금고동,674.87,주간
4,용계동,1630.0,출근
4,학하동,3325.86,퇴근
4,성북동,464.81,퇴근
4,화암동,21.99,새벽
4,외삼동,2606.15,주간
4,반석동,20472.85,퇴근
4,구룡동,20.17,저녁
4,용계동,2358.16,퇴근
4,학하동,6393.74,저녁
4,성북동,900.49,저녁
4,봉명동,40725.27,새벽
4,원신흥동,17082.02,새벽
4,방현동,555.39,퇴근
4,수남동,24.11,새벽
4,외삼동,369.72,출근
4,반석동,38885.32,저녁
4,용계동,13482.73,주간
4,학하동,2274.36,출근
4,성북동,275.26,출근
4,도룡동,9519.1,저녁
4,방현동,4164.46,주간
4,반석동,9314.42,출근
4,대동,6.41,저녁
4,구룡동,119.97,퇴근
4,세동,23.26,출근
4,장대동,27072.8,출근
4,갑동,558.94,퇴근
4,어은동,69020.82,주간
4,구성동,2075.43,새벽
4,덕진동,1048.74,새벽
4,문지동,3305.72,새벽
4,탑립동,267.91,새벽
4,교촌동,1116.15,퇴근
4,구암동,39897.37,주간
4,장동,4827.04,퇴근
4,원내동,69792.86,주간
4,계산동,8087.73,저녁
4,노은동,23070.5,저녁
4,신봉동,5646.16,저녁
4,원촌동,5060.48,퇴근
4,봉산동,3832.12,출근
4,관평동,18754.14,퇴근
4,신동,3.53,퇴근
4,죽동,1945.68,새벽
4,자운동,129.42,새벽
4,용산동,25662.19,주간
4,송강동,8297.41,출근
4,금탄동,24.01,출근
4,둔곡동,1017.82,주간
4,구암동,17871.54,저녁
4,상대동,11538.18,퇴근
4,노은동,11876.61,퇴근
4,지족동,10959.84,출근
4,가정동,2769.24,퇴근
4,하기동,7544.63,퇴근
4,전민동,19658.58,퇴근
4,용산동,2757.86,새벽
4,금고동,30.12,퇴근
4,둔곡동,47.35,새벽
4,교촌동,695.54,새벽
4,계산동,4030.91,퇴근
4,궁동,39804.09,저녁
4,장동,1994.88,새벽
4,신봉동,2829.29,퇴근
4,원촌동,3160.12,출근
4,관평동,9611.4,출근
4,신동,23.15,출근
4,원내동,15665.04,새벽
4,방동,798.64,저녁
4,송강동,48648.8,주간
4,금탄동,216.57,주간
4,갑동,180.09,새벽
4,도룡동,29184.75,주간
4,대동,60.32,주간
4,교촌동,4411.85,주간
4,대정동,4227.81,퇴근
4,송정동,479.86,퇴근
4,덕명동,22275.0,저녁
4,복용동,4752.48,퇴근
4,신성동,8945.15,새벽
4,장동,45399.3,주간
4,안산동,64.52,퇴근
4,상대동,24722.66,저녁
4,지족동,22162.66,퇴근
4,궁동,17946.67,새벽
4,신성동,50821.93,주간
4,가정동,2897.04,저녁
4,하기동,15905.89,저녁
4,전민동,35957.53,저녁
4,봉산동,6218.52,퇴근
4,금고동,21.59,저녁
4,대정동,2657.24,출근
4,송정동,221.48,출근
4,덕명동,12728.82,퇴근
4,복용동,3202.9,출근
4,죽동,5120.27,저녁
4,자운동,1157.59,저녁
4,안산동,41.09,출근
4,원내동,10321.84,출근
4,구암동,8137.86,새벽
4,죽동,17067.31,주간
4,자운동,4508.02,주간
4,원촌동,7636.94,저녁
4,관평동,30766.41,저녁
4,덕명동,9544.88,새벽
4,궁동,87669.41,주간
4,용산동,3743.53,출근
4,송강동,15364.07,퇴근
4,금탄동,31.28,퇴근
